D5,0.5
C#5,0.25
A5,0.25
D5,0.25
B-4,0.5
F4,0.25
D5,0.25
F5,0.25
A5,0.5
D5,0.75
F5,1.0
E-5,0.25
C#5,1.25
C5,0.5
B-4,2.0
G#4,1.0
A4,1.75
F4,0.25
C4,0.5
D5,0.25
A5,0.25
F#5,1.75
F5,0.25
E-5,0.25
D5,0.5
C5,0.25
A4,0.5
F4,0.25
C4,1.0
C#4,0.25
D4,0.25
E-4,0.25
E4,0.25
G4,0.25
F4,4.0
D4,0.25
C4,0.5
G4,0.25
E4,0.25
F4,0.5
D4,0.25
C4,0.25
G4,0.25
E4,3.0
F4,0.75
G4,0.75
G#4,0.75
A4,0.75
E4,1.75
F4,1.0
D4,0.25
E5,0.25
F5,0.5
C#6,0.5
E6,0.75
D6,0.5
E5,0.5
C5,0.25
G#5,0.25
E5,0.5
B-5,0.25
F#5,0.25
D5,0.25
E5,0.25
C5,0.5
D5,0.25
F5,0.25
B-4,0.25
A4,0.25
F5,0.25
G5,0.25
F5,0.25
E5,1.25
C5,0.25
D5,0.75
E5,1.25
D5,0.25
C5,0.5
D5,0.25
C5,0.25
B-4,0.5
A4,0.5
F5,4.0
C5,1.0
E-6,0.25
D6,0.25
B5,0.5
G#5,0.25
D5,0.25
B-5,0.25
E4,1.75
C4,0.25
C5,0.25
F5,0.25
C5,0.25
C#5,3.0
D5,0.25
F5,0.25
E-5,1.0
E5,0.25
G5,3.0
A4,0.25
B-4,0.25
D5,1.5
C5,0.25
B-4,0.25
G4,0.5
F4,0.25
F5,1.0
A5,1.0
F5,0.25
F6,0.25
E-6,0.25
C6,0.5
F5,0.25
G#5,0.5
F5,1.0
C5,0.5
E5,0.25
G5,0.25
F5,0.25
C5,0.25
B-4,0.25
G#4,0.75
A4,0.25
F4,0.25
C4,0.25
F4,0.75
A4,0.5
C4,0.25
A4,0.25
F4,0.25
G4,0.25
F4,0.25
D4,0.25
C4,0.25
G#4,0.75
F4,2.25
E-4,0.25
D4,0.5
C4,0.5
C5,0.25
G5,0.25
F6,0.5
E6,3.0
C6,0.75
G6,0.75
F5,0.25
E-5,0.25
B5,0.25
G#5,1.0
F5,0.25
G5,0.25
C5,1.0
E5,0.25
D5,1.0
G5,0.75
E5,0.25
F5,0.75
C#5,0.25
D5,0.25
F5,0.25
C5,1.0
C#5,0.25
D5,0.25
F5,0.25
E-5,0.5
E5,0.25
B-5,1.0
D5,0.25
G#5,1.0
F5,0.25
G5,0.25
C5,0.5
